District,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
PALGHAR,4.5,41.75,690.25,630.5,71.125,36.25,81.5,130.375,525.5,625.875,46.125,65.875,4.875,39.625,693.375,728,9.75,712.5,25,542.25,195.625,737.75,0.125,737.875,0,684.5,53.375,587,150.875
PUNE,0.692308,152.6923,1269.846,346.9231,928.3846,147.9231,963,433.7692,26.53846,118.0769,285.6154,1019.308,13.53846,2.692308,1407,1414.615,8.538462,154.6923,1268.615,233.5385,1189.769,454.6923,968.6154,1299.154,124.0769,554.6923,868.5385,926.7692,496.5385
RAIGAD,157.1333,126.8,807.1333,387.8667,506.8667,204.2,602.4,406.4,90.4,575.6,233.7333,289.4,0.2,69.4,1030.267,1071.2,28.6,930.7333,168.6,743.8667,338.3333,657.0667,425.2667,1061.333,20.93333,18,1076.667,1034.6,47.8
NANDED,7.8125,197.8125,1128.438,320.875,632.4375,382.625,1229.25,80.75,28.0625,83.8125,627.5625,618.5,3.125,4.75,1314.625,1320.688,5.1875,860.4375,478.6875,856,483.75,1072.5,266.75,1329.875,8.625,923.1875,415.75,1287.875,51.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,928.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RATNAGIRI,85.22222222,447.2222222,437.6666667,433.1111111,369.4444444,167.5555556,706.1111111,217.5555556,46.44444444,928.8888889,25.22222222,16,0.4444444444,35.44444444,934.2222222,969.8888889,0.2222222222,945.7777778,23.11111111,824.7777778,145.3333333,659.2222222,310.8888889,907.4444444,62.66666667,866.6666667,103.4444444,951.3333333,18.77777778
SANGLI,0.7,41.7,1503.2,542.8,919.8,83,836.5,629.8,79.3,425,534.6,585.7,257.7,0.5,1286.8,1522.5,22.9,834.4,711.2,415.8,1129.9,740.2,805.3,1538.1,7.5,1399.2,146.5,1332.7,212.8
SINDHUDURG,1,225.375,764.625,312,460.5,219.125,823.625,158.25,10.375,939.375,37.125,13.125,1,610.875,372.625,983.75,4,738.25,254.125,971.875,20.625,925,67.375,982.125,9.875,30.375,961.375,987.75,4.75
SOLAPUR,1.909090909,27.54545455,1515.636364,76.36363636,664.4545455,804.6363636,1063.272727,393.2727273,89.27272727,173.5454545,453.5454545,916.6363636,31.45454545,1.454545455,1507.909091,1535.363636,7.454545455,337.4545455,1208.545455,94.63636364,1451.727273,655,890.5454545,1437.454545,107.4545455,270.1818182,1275.636364,599.1818182,947.0909091
THANE,13.2,190.8,1710.8,1126,395.4,393,904.6,742,267.8,1273.6,298.4,341.6,0,1.2,1913.6,1914.4,0,1613,301.6,1900.4,14.4,1750.8,164,1887.4,27,25.4,1889.4,1914,0.8
WARDHA,3.375,358.625,1062.5,357.75,497.375,569.875,1314.75,106.125,4.375,23.5,240.375,1160.125,2.375,0.25,1419.75,1422.125,0.125,867,558.25,42.375,1383,483,941.875,1392.25,25.625,1061.625,363.5,1270.5,154.75
WASHIM,12.5,370.3333333,1784.166667,79.16666667,1121.666667,966.1666667,1674.166667,477.6666667,15.16666667,1097.333333,546.3333333,523.3333333,23.5,4,2139.166667,2163.666667,3.333333333,218.1666667,1948.833333,310.5,1856.5,971.8333333,1194.833333,2165.833333,1.166666667,2021.166667,145.5,2057.666667,109.3333333
YAVATMAL,0.06666666667,10.66666667,513.1333333,310.0666667,212.5333333,1.333333333,234.0666667,287.8,2.133333333,23.93333333,205.3333333,294.6,2.733333333,0,520.8,523.2666667,0.2666666667,7.133333333,516.8,224.2,299.8,147.3333333,376.6,463.3333333,60.53333333,186.6666667,337.2,507.3333333,16.73333333
,4244.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4765.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,895.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5164.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5967.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,697.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1531.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,790.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1617.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,262.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,809.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,886.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,699.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,848.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,180.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,387.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
